fish,metric,y,baseline,recovery,drug,dose
23,mean_distance_light_epoch_3,2.773e-05,0,0,1,0.05
24,mean_distance_light_epoch_1,1.718e-05,0,0,1,0.05
24,mean_distance_light_epoch_2,2.444e-05,0,0,1,0.05
24,mean_distance_light_epoch_3,2.417e-05,0,0,1,0.05
25,mean_distance_light_epoch_1,2.185e-05,0,0,1,0.05
25,mean_distance_light_epoch_2,2.872e-05,0,0,1,0.05
25,mean_distance_light_epoch_3,2.403e-05,0,0,1,0.05
26,mean_distance_light_epoch_1,2.513e-05,0,0,1,0.05
26,mean_distance_light_epoch_2,2.877e-05,0,0,1,0.05
26,mean_distance_light_epoch_3,2.289e-05,0,0,1,0.05
27,mean_distance_light_epoch_1,2.142e-05,0,0,1,0.05
27,mean_distance_light_epoch_2,2.906e-05,0,0,1,0.05
27,mean_distance_light_epoch_3,3.394e-05,0,0,1,0.05
28,mean_distance_light_epoch_1,2.81e-05,0,0,1,0.05
28,mean_distance_light_epoch_2,5.3e-05,0,0,1,0.05
28,mean_distance_light_epoch_3,4.105e-05,0,0,1,0.05
29,mean_distance_light_epoch_1,2.993e-05,0,0,1,0.05
29,mean_distance_light_epoch_2,2.227e-05,0,0,1,0.05
29,mean_distance_light_epoch_3,2.837e-05,0,0,1,0.05
30,mean_distance_light_epoch_1,2.631e-05,0,0,1,0.05
30,mean_distance_light_epoch_2,2.436e-05,0,0,1,0.05
30,mean_distance_light_epoch_3,2.572e-05,0,0,1,0.05
31,mean_distance_light_epoch_1,2.071e-05,0,0,1,0.05
31,mean_distance_light_epoch_2,2.214e-05,0,0,1,0.05
31,mean_distance_light_epoch_3,3.689e-05,0,0,1,0.05
32,mean_distance_light_epoch_1,2.557e-05,0,0,1,0.05
32,mean_distance_light_epoch_2,1.894e-05,0,0,1,0.05
32,mean_distance_light_epoch_3,2.114e-05,0,0,1,0.05
33,mean_distance_light_epoch_1,2.773e-05,0,0,1,0.05
33,mean_distance_light_epoch_2,2.694e-05,0,0,1,0.05
33,mean_distance_light_epoch_3,2.455e-05,0,0,1,0.05
34,mean_distance_light_epoch_1,3.204e-05,0,0,1,0.05
34,mean_distance_light_epoch_2,2.664e-05,0,0,1,0.05
34,mean_distance_light_epoch_3,3.249e-05,0,0,1,0.05
35,mean_distance_light_epoch_1,3.766e-05,0,0,1,0.05
35,mean_distance_light_epoch_2,3.096e-05,0,0,1,0.05
35,mean_distance_light_epoch_3,2.546e-05,0,0,1,0.05
36,mean_distance_light_epoch_1,4.689e-05,0,0,1,0.05
36,mean_distance_light_epoch_2,2.834e-05,0,0,1,0.05
36,mean_distance_light_epoch_3,2.349e-05,0,0,1,0.05
37,mean_distance_light_epoch_1,4.775e-05,0,0,1,0.05
37,mean_distance_light_epoch_2,3.531e-05,0,0,1,0.05
37,mean_distance_light_epoch_3,3.171e-05,0,0,1,0.05
38,mean_distance_light_epoch_1,2.638e-05,0,0,1,0.05
38,mean_distance_light_epoch_2,2.451e-05,0,0,1,0.05
38,mean_distance_light_epoch_3,2.67e-05,0,0,1,0.05
39,mean_distance_light_epoch_1,3.2e-05,0,0,1,0.05
39,mean_distance_light_epoch_2,3.501e-05,0,0,1,0.05
39,mean_distance_light_epoch_3,3.855e-05,0,0,1,0.05
40,mean_distance_light_epoch_1,2.165e-05,0,0,1,0.05
40,mean_distance_light_epoch_2,2.585e-05,0,0,1,0.05
40,mean_distance_light_epoch_3,2.337e-05,0,0,1,0.05
21,mean_distance_light_epoch_all,2.851e-05,0,0,1,0.05
22,mean_distance_light_epoch_all,5.336e-05,0,0,1,0.05
23,mean_distance_light_epoch_all,2.353e-05,0,0,1,0.05
24,mean_distance_light_epoch_all,2.193e-05,0,0,1,0.05
25,mean_distance_light_epoch_all,2.487e-05,0,0,1,0.05
26,mean_distance_light_epoch_all,2.559e-05,0,0,1,0.05
27,mean_distance_light_epoch_all,2.814e-05,0,0,1,0.05
28,mean_distance_light_epoch_all,4.072e-05,0,0,1,0.05
29,mean_distance_light_epoch_all,2.686e-05,0,0,1,0.05
30,mean_distance_light_epoch_all,2.546e-05,0,0,1,0.05
31,mean_distance_light_epoch_all,2.658e-05,0,0,1,0.05
32,mean_distance_light_epoch_all,2.188e-05,0,0,1,0.05
33,mean_distance_light_epoch_all,2.641e-05,0,0,1,0.05
34,mean_distance_light_epoch_all,3.039e-05,0,0,1,0.05
35,mean_distance_light_epoch_all,3.136e-05,0,0,1,0.05
36,mean_distance_light_epoch_all,3.291e-05,0,0,1,0.05
