fish,metric,y,dose,condition
106,mean_speed_light_epoch_1,0.00150141,50.0,baseline
106,mean_speed_light_epoch_2,0.00085324,50.0,baseline
106,mean_speed_light_epoch_3,0.00074024,50.0,baseline
107,mean_speed_light_epoch_1,0.00127795,50.0,baseline
107,mean_speed_light_epoch_2,0.00099729,50.0,baseline
107,mean_speed_light_epoch_3,0.00147151,50.0,baseline
108,mean_speed_light_epoch_1,0.00309667,50.0,baseline
108,mean_speed_light_epoch_2,0.00092124,50.0,baseline
108,mean_speed_light_epoch_3,0.00073444,50.0,baseline
109,mean_speed_light_epoch_1,0.00068678,50.0,baseline
109,mean_speed_light_epoch_2,0.0008312,50.0,baseline
109,mean_speed_light_epoch_3,0.00063693,50.0,baseline
110,mean_speed_light_epoch_1,0.00115998,50.0,baseline
110,mean_speed_light_epoch_2,0.00071985,50.0,baseline
110,mean_speed_light_epoch_3,0.00086775,50.0,baseline
111,mean_speed_light_epoch_1,0.00096303,50.0,baseline
111,mean_speed_light_epoch_2,0.00159767,50.0,baseline
111,mean_speed_light_epoch_3,0.00068011,50.0,baseline
112,mean_speed_light_epoch_1,0.00059536,50.0,baseline
112,mean_speed_light_epoch_2,0.00072584,50.0,baseline
112,mean_speed_light_epoch_3,0.00058862,50.0,baseline
113,mean_speed_light_epoch_1,0.00080295,50.0,baseline
113,mean_speed_light_epoch_2,0.00069005,50.0,baseline
113,mean_speed_light_epoch_3,0.00059889,50.0,baseline
114,mean_speed_light_epoch_1,0.00070804,50.0,baseline
114,mean_speed_light_epoch_2,0.00062309,50.0,baseline
114,mean_speed_light_epoch_3,0.00070872,50.0,baseline
115,mean_speed_light_epoch_1,0.00091244,50.0,baseline
115,mean_speed_light_epoch_2,0.00086187,50.0,baseline
115,mean_speed_light_epoch_3,0.00068331,50.0,baseline
116,mean_speed_light_epoch_1,0.00065302,50.0,baseline
116,mean_speed_light_epoch_2,0.00072336,50.0,baseline
116,mean_speed_light_epoch_3,0.00063772,50.0,baseline
117,mean_speed_light_epoch_1,0.00071023,50.0,baseline
117,mean_speed_light_epoch_2,0.00072641,50.0,baseline
117,mean_speed_light_epoch_3,0.00066943,50.0,baseline
118,mean_speed_light_epoch_1,0.00057347,50.0,baseline
118,mean_speed_light_epoch_2,0.00082846,50.0,baseline
118,mean_speed_light_epoch_3,0.0008061,50.0,baseline
119,mean_speed_light_epoch_1,0.00097827,50.0,baseline
119,mean_speed_light_epoch_2,0.00115816,50.0,baseline
119,mean_speed_light_epoch_3,0.00125965,50.0,baseline
120,mean_speed_light_epoch_1,0.00089698,50.0,baseline
120,mean_speed_light_epoch_2,0.00057824,50.0,baseline
120,mean_speed_light_epoch_3,0.00075537,50.0,baseline
101,mean_speed_light_epoch_all,0.00073089,50.0,baseline
102,mean_speed_light_epoch_all,0.00083468,50.0,baseline
103,mean_speed_light_epoch_all,0.00067332,50.0,baseline
104,mean_speed_light_epoch_all,0.0016816,50.0,baseline
105,mean_speed_light_epoch_all,0.00071013,50.0,baseline
106,mean_speed_light_epoch_all,0.00103163,50.0,baseline
107,mean_speed_light_epoch_all,0.00124892,50.0,baseline
108,mean_speed_light_epoch_all,0.00158412,50.0,baseline
109,mean_speed_light_epoch_all,0.00071831,50.0,baseline
110,mean_speed_light_epoch_all,0.00091586,50.0,baseline
111,mean_speed_light_epoch_all,0.00108027,50.0,baseline
112,mean_speed_light_epoch_all,0.00063661,50.0,baseline
113,mean_speed_light_epoch_all,0.0006973,50.0,baseline
114,mean_speed_light_epoch_all,0.00067995,50.0,baseline
115,mean_speed_light_epoch_all,0.00081921,50.0,baseline
116,mean_speed_light_epoch_all,0.00067136,50.0,baseline
117,mean_speed_light_epoch_all,0.00070202,50.0,baseline
118,mean_speed_light_epoch_all,0.00073601,50.0,baseline
119,mean_speed_light_epoch_all,0.00113203,50.0,baseline
120,mean_speed_light_epoch_all,0.00074353,50.0,baseline
101,max_speed_dark_epoch_1,0.13519987,50.0,baseline
101,max_speed_dark_epoch_2,0.16567658,50.0,baseline
101,max_speed_dark_epoch_3,0.12951496,50.0,baseline
102,max_speed_dark_epoch_1,0.04757087,50.0,baseline
102,max_speed_dark_epoch_2,0.04560123,50.0,baseline
102,max_speed_dark_epoch_3,0.1237953,50.0,baseline
103,max_speed_dark_epoch_1,0.11466135,50.0,baseline
103,max_speed_dark_epoch_2,0.10518358,50.0,baseline
103,max_speed_dark_epoch_3,0.15241492,50.0,baseline
104,max_speed_dark_epoch_1,0.18303435,50.0,baseline
104,max_speed_dark_epoch_2,0.11537947,50.0,baseline
104,max_speed_dark_epoch_3,0.05147274,50.0,baseline
105,max_speed_dark_epoch_1,0.14006197,50.0,baseline
105,max_speed_dark_epoch_2,0.14483385,50.0,baseline
105,max_speed_dark_epoch_3,0.02776747,50.0,baseline
106,max_speed_dark_epoch_1,0.06320856,50.0,baseline
106,max_speed_dark_epoch_2,0.05777093,50.0,baseline
106,max_speed_dark_epoch_3,0.02616433,50.0,baseline
107,max_speed_dark_epoch_1,0.17324306,50.0,baseline
107,max_speed_dark_epoch_2,0.1619838,50.0,baseline
107,max_speed_dark_epoch_3,0.04499791,50.0,baseline
108,max_speed_dark_epoch_1,0.19986725,50.0,baseline
108,max_speed_dark_epoch_2,0.12032247,50.0,baseline
108,max_speed_dark_epoch_3,0.04438065,50.0,baseline
109,max_speed_dark_epoch_1,0.04282114,50.0,baseline
109,max_speed_dark_epoch_2,0.16033092,50.0,baseline
109,max_speed_dark_epoch_3,0.03896004,50.0,baseline
110,max_speed_dark_epoch_1,0.02700493,50.0,baseline
110,max_speed_dark_epoch_2,0.13195284,50.0,baseline
110,max_speed_dark_epoch_3,0.03698578,50.0,baseline
111,max_speed_dark_epoch_1,0.15851524,50.0,baseline
111,max_speed_dark_epoch_2,0.0030183,50.0,baseline
111,max_speed_dark_epoch_3,0.03480542,50.0,baseline
112,max_speed_dark_epoch_1,0.1846721,50.0,baseline
112,max_speed_dark_epoch_2,0.04632213,50.0,baseline
112,max_speed_dark_epoch_3,0.03042228,50.0,baseline
113,max_speed_dark_epoch_1,0.03555862,50.0,baseline
113,max_speed_dark_epoch_2,0.01972385,50.0,baseline
113,max_speed_dark_epoch_3,0.02136455,50.0,baseline
114,max_speed_dark_epoch_1,0.06887678,50.0,baseline
114,max_speed_dark_epoch_2,0.06896161,50.0,baseline
114,max_speed_dark_epoch_3,0.03564242,50.0,baseline
115,max_speed_dark_epoch_1,0.15202099,50.0,baseline
115,max_speed_dark_epoch_2,0.07333305,50.0,baseline
115,max_speed_dark_epoch_3,0.06617878,50.0,baseline
116,max_speed_dark_epoch_1,0.0240535,50.0,baseline
116,max_speed_dark_epoch_2,0.02125748,50.0,baseline
116,max_speed_dark_epoch_3,0.00232217,50.0,baseline
117,max_speed_dark_epoch_1,0.0364534,50.0,baseline
117,max_speed_dark_epoch_2,0.03225672,50.0,baseline
117,max_speed_dark_epoch_3,0.02982425,50.0,baseline
118,max_speed_dark_epoch_1,0.05190525,50.0,baseline
118,max_speed_dark_epoch_2,0.03785125,50.0,baseline
118,max_speed_dark_epoch_3,0.0315318,50.0,baseline
119,max_speed_dark_epoch_1,0.11547521,50.0,baseline
119,max_speed_dark_epoch_2,0.10684625,50.0,baseline
119,max_speed_dark_epoch_3,0.06447728,50.0,baseline
120,max_speed_dark_epoch_1,0.02330378,50.0,baseline
120,max_speed_dark_epoch_2,0.02907714,50.0,baseline
120,max_speed_dark_epoch_3,0.02977125,50.0,baseline
101,max_speed_dark_epoch_all,0.16567658,50.0,baseline
102,max_speed_dark_epoch_all,0.1237953,50.0,baseline
103,max_speed_dark_epoch_all,0.15241492,50.0,baseline
104,max_speed_dark_epoch_all,0.18303435,50.0,baseline
105,max_speed_dark_epoch_all,0.14483385,50.0,baseline
106,max_speed_dark_epoch_all,0.06320856,50.0,baseline
107,max_speed_dark_epoch_all,0.17324306,50.0,baseline
108,max_speed_dark_epoch_all,0.19986725,50.0,baseline
109,max_speed_dark_epoch_all,0.16033092,50.0,baseline
