fish,metric,y,dose,condition
67,mean_speed_light_epoch_2,0.0013307,2.5,recovery
67,mean_speed_light_epoch_3,0.00105868,2.5,recovery
69,mean_speed_light_epoch_1,0.00126872,2.5,recovery
69,mean_speed_light_epoch_2,0.00094715,2.5,recovery
69,mean_speed_light_epoch_3,0.0010977,2.5,recovery
70,mean_speed_light_epoch_1,0.00094924,2.5,recovery
70,mean_speed_light_epoch_2,0.00101294,2.5,recovery
70,mean_speed_light_epoch_3,0.00155686,2.5,recovery
71,mean_speed_light_epoch_1,0.00138037,2.5,recovery
71,mean_speed_light_epoch_2,0.00139602,2.5,recovery
71,mean_speed_light_epoch_3,0.00112029,2.5,recovery
72,mean_speed_light_epoch_1,0.00156205,2.5,recovery
72,mean_speed_light_epoch_2,0.00193776,2.5,recovery
72,mean_speed_light_epoch_3,0.00129987,2.5,recovery
73,mean_speed_light_epoch_1,0.00081033,2.5,recovery
73,mean_speed_light_epoch_2,0.00071278,2.5,recovery
73,mean_speed_light_epoch_3,0.00093424,2.5,recovery
74,mean_speed_light_epoch_1,0.00085884,2.5,recovery
74,mean_speed_light_epoch_2,0.00079406,2.5,recovery
74,mean_speed_light_epoch_3,0.00070034,2.5,recovery
75,mean_speed_light_epoch_1,0.00085471,2.5,recovery
75,mean_speed_light_epoch_2,0.00079799,2.5,recovery
75,mean_speed_light_epoch_3,0.00074721,2.5,recovery
76,mean_speed_light_epoch_1,0.00112963,2.5,recovery
76,mean_speed_light_epoch_2,0.00073801,2.5,recovery
76,mean_speed_light_epoch_3,0.00106237,2.5,recovery
77,mean_speed_light_epoch_1,0.00089353,2.5,recovery
77,mean_speed_light_epoch_2,0.00103879,2.5,recovery
77,mean_speed_light_epoch_3,0.0005772,2.5,recovery
78,mean_speed_light_epoch_1,0.00114558,2.5,recovery
78,mean_speed_light_epoch_2,0.00082832,2.5,recovery
78,mean_speed_light_epoch_3,0.00097341,2.5,recovery
79,mean_speed_light_epoch_1,0.00078158,2.5,recovery
79,mean_speed_light_epoch_2,0.00087554,2.5,recovery
79,mean_speed_light_epoch_3,0.0010944,2.5,recovery
80,mean_speed_light_epoch_1,0.00113248,2.5,recovery
80,mean_speed_light_epoch_2,0.00081784,2.5,recovery
80,mean_speed_light_epoch_3,0.00103206,2.5,recovery
61,mean_speed_light_epoch_all,0.00138538,2.5,recovery
62,mean_speed_light_epoch_all,0.00139664,2.5,recovery
63,mean_speed_light_epoch_all,0.00130781,2.5,recovery
64,mean_speed_light_epoch_all,0.0011533,2.5,recovery
65,mean_speed_light_epoch_all,0.00103011,2.5,recovery
66,mean_speed_light_epoch_all,0.00117537,2.5,recovery
67,mean_speed_light_epoch_all,0.00124471,2.5,recovery
69,mean_speed_light_epoch_all,0.00110452,2.5,recovery
70,mean_speed_light_epoch_all,0.00117302,2.5,recovery
71,mean_speed_light_epoch_all,0.0012989,2.5,recovery
72,mean_speed_light_epoch_all,0.00159989,2.5,recovery
73,mean_speed_light_epoch_all,0.00081912,2.5,recovery
74,mean_speed_light_epoch_all,0.00078441,2.5,recovery
75,mean_speed_light_epoch_all,0.00079997,2.5,recovery
76,mean_speed_light_epoch_all,0.00097667,2.5,recovery
77,mean_speed_light_epoch_all,0.00083651,2.5,recovery
78,mean_speed_light_epoch_all,0.00098244,2.5,recovery
79,mean_speed_light_epoch_all,0.00091717,2.5,recovery
80,mean_speed_light_epoch_all,0.00099413,2.5,recovery
61,max_speed_dark_epoch_1,0.06955796,2.5,recovery
61,max_speed_dark_epoch_2,0.05996642,2.5,recovery
61,max_speed_dark_epoch_3,0.12208847,2.5,recovery
62,max_speed_dark_epoch_1,0.15240309,2.5,recovery
62,max_speed_dark_epoch_2,0.18902533,2.5,recovery
62,max_speed_dark_epoch_3,0.08211965,2.5,recovery
63,max_speed_dark_epoch_1,0.05396846,2.5,recovery
63,max_speed_dark_epoch_2,0.04710764,2.5,recovery
63,max_speed_dark_epoch_3,0.08000751,2.5,recovery
64,max_speed_dark_epoch_1,0.12044638,2.5,recovery
64,max_speed_dark_epoch_2,0.11330768,2.5,recovery
64,max_speed_dark_epoch_3,0.03318963,2.5,recovery
65,max_speed_dark_epoch_1,0.02614246,2.5,recovery
65,max_speed_dark_epoch_2,0.03257421,2.5,recovery
65,max_speed_dark_epoch_3,0.02503698,2.5,recovery
66,max_speed_dark_epoch_1,0.12706378,2.5,recovery
66,max_speed_dark_epoch_2,0.10943764,2.5,recovery
66,max_speed_dark_epoch_3,0.1281721,2.5,recovery
67,max_speed_dark_epoch_1,0.0677743,2.5,recovery
67,max_speed_dark_epoch_2,0.12914181,2.5,recovery
67,max_speed_dark_epoch_3,0.02552121,2.5,recovery
69,max_speed_dark_epoch_1,0.05555195,2.5,recovery
69,max_speed_dark_epoch_2,0.10144699,2.5,recovery
69,max_speed_dark_epoch_3,0.11522718,2.5,recovery
70,max_speed_dark_epoch_1,0.04760884,2.5,recovery
70,max_speed_dark_epoch_2,0.03805924,2.5,recovery
70,max_speed_dark_epoch_3,0.08710881,2.5,recovery
71,max_speed_dark_epoch_1,0.04811971,2.5,recovery
71,max_speed_dark_epoch_2,0.00486194,2.5,recovery
71,max_speed_dark_epoch_3,0.10962206,2.5,recovery
72,max_speed_dark_epoch_1,0.10265015,2.5,recovery
72,max_speed_dark_epoch_2,0.13025124,2.5,recovery
72,max_speed_dark_epoch_3,0.0436673,2.5,recovery
73,max_speed_dark_epoch_1,0.12633827,2.5,recovery
73,max_speed_dark_epoch_2,0.0434729,2.5,recovery
73,max_speed_dark_epoch_3,0.11730188,2.5,recovery
74,max_speed_dark_epoch_1,0.03178193,2.5,recovery
74,max_speed_dark_epoch_2,0.00946084,2.5,recovery
74,max_speed_dark_epoch_3,0.03541438,2.5,recovery
75,max_speed_dark_epoch_1,0.02697731,2.5,recovery
